elexonBmUnit,bmUnitName,leadPartyName,generationCapacity
T_SGRWO-6,Seagreen1 Offshore WF 6,Seagreen Wind Energy Limited,525.302
T_SOFOW-21,Sofia Offshore Wind BMU 3,Sofia Offshore Wind Farm Ltd,457.0
T_SOFOW-22,Sofia Offshore Wind BMU 4,Sofia Offshore Wind Farm Ltd,457.0
T_SOFOW-12,Sofia Offshore Wind BMU 2,Sofia Offshore Wind Farm Ltd,457.0
T_SOFOW-11,Sofia Offshore Wind BMU 1,Sofia Offshore Wind Farm Ltd,457.0
T_HOWBO-3,HORNSEA_WF_2C,Soundmark Wind Limited,440.0
T_HOWBO-2,HORNSEA_WF_2B,Sonningmay Wind Limited,440.0
T_HOWBO-1,HORNSEA_WF_2A,Breesea Limited,440.0
T_SGRWO-1,Seagreen1 Offshore WF 1,Seagreen Wind Energy Limited,431.132
T_SOKYW-1,South Kyle Wind Farm,South Kyle Wind Farm Limited,426.916
T_TKNEW-1,Triton Knoll OSP East 1,Triton Knoll Offshore Wind,412.0
T_TKNWW-1,Triton Knoll OSP west 1,Triton Knoll Offshore Wind,412.0
T_HOWAO-2,HORNSEA_1B,Hornsea 1 Limited,400.0
T_HOWAO-3,HORNSEA_1C,Hornsea 1 Limited,400.0
T_HOWAO-1,HORNSEA_1A,Hornsea 1 Limited,400.0
T_GANW-22,Galloper OSP 22,Galloper Offshore WindFarm Ltd,385.82
T_SGRWO-3,Seagreen1 Offshore WF 3,Seagreen Wind Energy Limited,374.618
T_EAAO-2,East Anglia One Offshore 2,East Anglia One Limited,367.0
T_EAAO-1,East Anglia One Offshore 1,East Anglia One Limited,358.0
T_WLNYO-3,WALNEY_3,Walney Extension Ltd,330.0
T_WLNYO-4,WALNEY_4,Walney Extension Ltd,330.0
T_WLNYO-4,WALNEY_4,Walney Extension Ltd,330.0
T_WHILW-1,T_WHILW-1,SP Renewables (UK) Limited,309.0
T_DBBWO-2,Dogger Bank B Offshore WF 2,Doggerbank OWF Project 2,304.4
T_DBAWO-2,Dogger Bank A Offshore WF 2,Doggerbank OWF Project 1,304.0
T_DBAWO-3,Dogger Bank A Offshore WF 3,Doggerbank OWF Project 1,302.8
T_DBAWO-1,Dogger Bank A Offshore WF 1,Doggerbank OWF Project 1,302.4
T_DBBWO-1,Dogger Bank B Offshore WF 1,Doggerbank OWF Project 2,302.4
T_DBBWO-3,Dogger Bank B Offshore WF 3,Doggerbank OWF Project 2,302.3
T_SGRWO-5,Seagreen1 Offshore WF 5,Seagreen Wind Energy Limited,300.0
T_MOWEO-3,Moray East OWF3,Moray Offshore Wind East Ltd,300.0
T_MOWEO-2,Moray East OWF2,Moray Offshore Wind East Ltd,300.0
T_MOWEO-1,Moray East OWF1,Moray Offshore Wind East Ltd,300.0
T_RCBKO-2,RACE_BANK_Z02,Race Bank Wind Farm Ltd,290.0
